SKU|Product Name|Price|Department
AV1051|JBL Bluetooth Speaker|89.95|Audio Video
AV1312|Mini 1000 Lumens Projector|149.95|Audio Video
GM1148|Retro Handheld Arcade|24.45|Games
PW1001|Solar Powered Battery Charger|19.99|Electronics
AV1405|Wireless Noise Cancelling Headphones|129.95|Audio Video
AV1210|4K Ultra HD Streaming Stick|49.99|Audio Video
GM1203|Puzzle Bundle 500 Piece Set|18.99|Games
GM1317|Strategy Board Game Collection|34.95|Games
EL1025|Smart LED Desk Lamp|39.99|Electronics
EL1188|USB-C 6-Port Hub|29.95|Electronics
EL1340|Digital Alarm Clock with Wireless Charging|44.99|Electronics
PW1078|Portable Power Bank 20000mAh|34.95|Electronics
PW1145|Surge Protector 8-Outlet|24.99|Electronics
HM1001|Smart Plug Wi-Fi Enabled|16.99|Home
HM1054|Air Purifier Compact Desktop|59.95|Home
HM1102|Bamboo Cutting Board Set|24.99|Home
AV1502|Bluetooth Portable Speaker|49.95|Audio Video
GM1420|Classic Card Game Variety Pack|14.99|Games
EL1455|Wireless Charging Pad Dual|34.99|Electronics
PW1220|Solar Lantern Outdoor Rechargeable|29.95|Electronics
